name,desc,rating,made-it,reviews,photos,time,servings,cals,id
Homemade Valentine's Chocolates,"""Find yourself a nice decorative box to put these in. It doesn't hurt if it has the word 'love' on it. And then you present these as your gift for Valentine's Day. The flavor profile for these is just perfect: dark chocolate with just a hint of warmth.""","{'value': '4.41', 'count': '9'}",22,9,1,"['PT15M', 'PT5M', 'PT50M']",32,48,0
Sister Beth's Carrot Cake,"""One of my sisters, Beth, learned how to make carrot cake in home economics class in 1978. A few years ago I asked her to write down what she remembered from the recipe. Only remembering two-thirds of the ingredients, I completed the recipe by trial and error. It was worth all the effort. Simply delicious.""","{'value': '4.70', 'count': '31'}",137,31,10,"['PT20M', 'PT1H', 'PT2H20M']",12,614,1
Lemon Crumb Bars,"""Treat your family to these mouth-watering lemon crumb bars that are the perfect combination of sweet & tangy!""","{'value': '5.00', 'count': '2'}",7,2,2,"['PT5M', 'PT45M', 'PT50M']",24,212,2
Strawberry Shortcake Punch Bowl Cake,"""I make this in a punchbowl. Garnish with strawberries.""","{'value': '5.00', 'count': '11'}",51,11,5,"['PT15M', 'PT2H20M']",12,331,3
Reduced-Sugar Pumpkin Creme Brulee,"""Classic creme brulee gets a rich pumpkin twist with the help of pumpkin pie spice and a balance of both raw sugar and stevia.""","{'value': '4.00', 'count': '1'}",0,1,1,"['PT20M', 'PT35M', 'PT2H55M']",6,237,4
Hamantashen II,"""Filled cookie dough.""","{'value': '4.31', 'count': '25'}",29,25,5,[],17,373,5
German Filled  Hoernchen,"""Rich tart pastry of little horns. The filling can also be marmalade, a mixture of raisins or currants with cinnamon and sugar, or chopped hazelnuts with sugar and enough sour or sweet cream to bind the mixture.""","{'value': '4.56', 'count': '9'}",12,9,1,"['PT3M', 'PT25M', 'PT4H30M']",48,75,6
Cake Vodka Balls,"""Candy recipe make with UV® cake vodka. Another option is to mix some cocoa powder with the confectioners' sugar and roll the vodka balls.""","{'value': '0.00', 'count': '0'}",2,0,1,"['PT20M', 'PT1H20M']",60,65,7
Nana's Italian Holiday Cream Cake,"""A delicious holiday cake that all will enjoy! Looks beautiful. Sprinkle top with chopped nuts.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT25M', 'PT25M', 'PT1H20M']",12,751,8
Country Apple Dessert,"""This is one of the most delicious recipes I've ever had using fruit!""","{'value': '3.93', 'count': '12'}",23,12,2,"['PT15M', 'PT25M', 'PT40M']",4,124,9
Vanilla Pistachio Fig Tart,"""A lovely multi-season tart using fresh figs, pistachios, lemon zest, and a hint of vanilla.""","{'value': '5.00', 'count': '5'}",14,5,3,"['PT20M', 'PT40M', 'PT1H']",4,423,10
Chocolate Cherry Cake IV,"""This was the cake we had for my birthday. Mostly chocolate with a subtle cherry flavor.""","{'value': '3.40', 'count': '4'}",4,4,0,"['PT30M', 'PT30M', 'PT1H']",12,205,11
