recipe,part,ingredient
0,General,"cream optional, to serve"
0,General,"custard optional, to serve"
0,Pastry,500 g plain flour plus extra for dusting
0,Pastry,100 g icing sugar
0,Pastry,250 g unsalted butter chilled and cut into cubes
0,Pastry,2 large free-range eggs
0,Pastry,1 splash milk
0,Filling,"10 Granny Smith apples peeled, cored and halved, 3 sliced"
0,Filling,2 oranges juice and zest of
0,Filling,7 heaped tablespoons caster sugar
0,Filling,400 g huckleberries or blueberries
0,Filling,1 heaped tablespoon plain flour
0,Filling,1 large free-range egg beaten
0,Filling,1 small handful demerara sugar
0,Filling,"good-quality vanilla ice cream optional, to serve"
1,General,1 big pot vanilla ice-cream
1,General,smush-in flavours
2,General,300 g amaretti biscuits
2,General,150 ml sour cherries
2,General,200 g shelled pistachios
2,General,50 g desiccated coconut
2,General,400 g dark chocolate (70%)
2,General,200 g unsalted butter
2,General,3 tablespoons golden syrup
2,General,cocoa powder
3,General,8 cardamom pods
3,General,250 g plain flour
3,General,30 g cornflour
3,General,½ heaped teaspoon baking powder
3,General,6 heaped tablespoons caster sugar
3,General,1 teaspoon ground cinnamon
3,General,2 medium free-range egg yolks
3,General,330 ml can of chilled lager
3,General,2 large Bramley apples (about 500g)
3,General,1.5 litres vegetable oil for frying
3,Salted Chocolate Sauce,150 g quality dark chocolate (70%)
3,Salted Chocolate Sauce,6 tablespoons whole milk
3,Salted Chocolate Sauce,4 tablespoons double cream
3,Salted Chocolate Sauce,30 g salted butter
3,Salted Chocolate Sauce,2 tablespoons light brown muscovado sugar
4,General,300 g strawberries
4,General,300 g raspberries
4,General,30 g sugar
4,General,1 teaspoon cornflour
4,General,1 orange
4,General,½ a vanilla pod
4,Crumble,100 g sugar
4,Crumble,100 g buckwheat flour
4,Crumble,100 g ground almonds
4,Crumble,100 g cold butter
5,General,2 ice cube trays frozen mulled wine
5,General,2 tablespoons natural yoghurt or crème fraîche
6,General,800 g ripe strawberries
6,General,1 vanilla pod
6,General,1 orange
6,General,40 g soft brown sugar
6,General,40 ml Pimm's
6,General,vanilla ice cream to serve
6,Topping,50 g whole almonds
6,Topping,100 g self-raising flour
6,Topping,50 g caster sugar
6,Topping,100 g unsalted butter chilled
7,General,½ tablespoon unsalted butter (at room temperature) for greasing
7,General,1 tablespoon sugar
7,General,300 g cherries
7,General,icing sugar for dusting
7,Batter,60 g plain flour
7,Batter,½ teaspoon baking powder
7,Batter,3 large free-range eggs
7,Batter,60 g sugar
7,Batter,300 ml milk
7,Batter,½ teaspoon vanilla extract
8,General,225 g unsalted butter (at room temperature) plus extra for greasing
8,General,225 g white caster sugar
8,General,1 teaspoon vanilla extract
8,General,4 large free-range eggs
8,General,225 g self-raising flour
8,General,1 teaspoon baking powder
8,General,1 splash of milk
8,Filling,200 ml double cream
8,Filling,1 vanilla pod
8,Filling,1½ tablespoon of icing sugar plus extra for dusting
8,Filling,250 g fresh strawberries
9,General,6 ripe peaches
9,General,1 good splash of brandy
9,General,1 orange
9,General,1 vanilla pod
9,General,3 tablespoons sugar
9,General,2 fresh bay leaves
9,General,1 handful of Italian biscotti
9,General,crème fraîche
10,General,75 g unsalted butter plus extra for greasing
10,General,4 large free-range eggs
10,General,100 g sugar
10,General,100 g ground pistachios
10,General,100 g fine semolina
10,General,1 lemon
10,General,50 g no-peel orange marmalade
10,General,1 teaspoon dried mint
10,General,25 g pistachios
10,Lemon Syrup,2 lemons
10,Lemon Syrup,150 g sugar
11,General,30 g sultanas
11,General,30 g dried apricots
11,General,30 g dates
11,General,1 teaspoon baking powder
11,General,140 g self-raising flour
11,General,30 g muscovado sugar
11,General,1 tablespoon golden syrup
11,General,1 large free-range egg
11,General,30 g butter melted
11,General,140 ml water hot
11,For The Chocolate Topping,40 g butter
11,For The Chocolate Topping,40 g caster sugar
11,For The Chocolate Topping,40 g good-quality dark chocolate (70% cocoa solids)
11,For The Chocolate Topping,70 ml double cream
12,General,300 g caster sugar
12,General,150 ml sunflower oil
12,General,1 teaspoon vanilla extract
12,General,500 g dairy-free soya yoghurt
12,General,2 teaspoons cider vinegar
12,General,350 g plain flour
12,General,1 teaspoon bicarbonate of soda
12,General,1½ teaspoons baking powder
12,For The Vegan Vanilla Icing,200 g dairy-free soya spread chilled
12,For The Vegan Vanilla Icing,660 g icing sugar
12,For The Vegan Vanilla Icing,½ teaspoon vanilla extract
13,General,8-10 plums
13,General,200 g sugar
13,General,1 free-range egg white
13,General,½ a lemon
