name,subheading,desc,quote,servings,time,difficulty,category,tips,id
Appleberry pie,Great with fresh or frozen berries,"This fruit-packed pie is a real treat! Try Jamie's gorgeous appleberry pie, full of gorgeous fruit and lightly spiced with orange. ",“Loads of filling and seasonal berries give the great British apple pie an American feel ”,12,2 hours plus chilling time,Not too tricky,fruit-recipes,,0
Smush-ins,Ice cream with fresh fruit and sweet treats,"Make your vanilla ice cream more exciting by smushing in your favourite ice cream toppings like maple syrup, fruit, chocolate, meringue - anything goes!","“A great idea for kids – grab a load of fruit, sweets and other bits and pieces and have some fun ”",6,5 minutes,Super easy,fruit-recipes,,1
Fridge cake,,This super-indulgent and rich chocolate fridge cake recipe from Jamie Oliver is super easy to make and small slice makes a decadent after-dinner treat.,“This is a super-indulgent and rich cake. Serve in small slices with an after-dinner espresso for a decadent treat.  ”,20,10 minutes plus refrigerating,Super easy,chocolate-recipes,,2
Beer & cardamom apple fritters,With salted chocolate sauce,An indulgent festive dessert from Jamie magazine – think of this as the ultimate Christmas churros recipe!,"“These indulgent and delicious fritters are totally moreish – they’re like apple churros. Give them a good coat of batter before you fry them, to ensure they are wonderfully fluffy and crisp, ready for covering in the Christmas-spiced sugar. ”",6,45 minutes plus resting,Not too tricky,apple-recipes,,3
Gluten-free strawberry & raspberry crumble,A classic treat back on the menu,This gorgeous gluten-free strawberry and raspberry crumble is a great summer pudding – and perfect if you’re cooking for someone with a gluten intolerance – no one will notice the difference!,“A great summer pudding and perfect if you’re cooking for someone with a gluten intolerance – no one will notice the difference ”,4,45 minutes,Super easy,fruit-recipes,,4
Mulled wine sorbet,A great way to put leftover booze to good use,"This mulled wine sorbet recipe is not only a festive and unusual idea for Christmas lunch, but is also a great way to put leftover mulled wine to good use.","“Light, refreshing and really unusual, this festive sorbet is a great idea for Christmas lunch ”",4,15 minutes plus cooling and freezing time,Super easy,uncategorised-recipes,,5
Pimm’s & strawberry cobbler,"With vanilla, orange & almonds","This ruby-red cobbler is perfect to celebrate beautiful British strawberries, soaked in that classic summer tipple, Pimm’s. Great for Sunday lunch, barbecues and garden parties.","“Cobblers originated in the British and American colonies. English settlers were unable to make their beloved suet pudding due to lack of ingredients and cooking equipment, so instead covered stewed fruit with a layer of uncooked plain biscuits, creating a ‘cobbled’ effect. This version is perfect to celebrate beautiful British strawberries, soaked in that classic summer tipple, Pimm’s.  ”",6,40 minutes,Not too tricky,fruit-recipes,,6
Cherry clafoutis,,"This classic summery pudding is sure to impress your friends, Jamie's easy-to-master Cherry Clafoutis recipe takes inspiration from the classic French dish.",,4 to 6,50 minutes plus resting,Super easy,fruit-recipes,,7
Strawberry & cream sandwich sponge,With a fresh fruit & vanilla-spiked filling,"Everybody loves a Victoria sponge cake recipe, and this one is a real beauty. Packed with fresh strawberries, whipped cream and vanilla, it's sure to impress. Try making it for afternoon tea.","“This classic cake is, of course, named after Queen Victoria, the only monarch to reign longer than the current Queen. It’s relatively easy to make but does have a few quirks: you need to get as much air into it as possible, and be mindful of its sensitivity to variations in heat. Know your oven well and invest in an oven thermometer! ”",14,50 minutes plus cooling,Not too tricky,fruit-recipes,,8
Grilled peaches with brandy & bay,,"These grilled peaches from Jamie Oliver is inspired by an Aussie Christmas, try these delicious recipe with brandy & bay yourself this festive season. ",,4 to 6,25 minutes,Super easy,fruit-recipes,,9
Soaked pistachio & citrus cake,,"If you love a lemon drizzle, try this beautiful soaked pistachio and citrus cake. It has marmalade in the sponge and is topped with a lemon syrup for a lovely, zingy teatime treat. Enjoy!",,10,55 minutes,Not too tricky,fruit-recipes,,10
Sticky toffee cupcakes with chocolate topping,An epic combo,Cupcakes are amazing and so is sticky toffee pudding; Jamie put them together to make these brilliant sticky toffee cupcakes with a chocolate topping!,“This to-die-for result of mucking about with a sticky toffee pudding recipe always makes me smile ”,about 12,35 minutes plus cooling time,Super easy,chocolate-recipes,,11
Jemma’s vegan vanilla fudge cupcakes,Butter free & egg free,"Cupcake Jemma's recipe for vegan sponge cupcakes, topped with vegan vanilla fudge icing is brilliant no-dairy bake","“Some vegan cakes are even better than normal ones, and these naughty vanilla cupcakes certainly are! ”",24,45 minutes plus cooling,Not too tricky,bread-recipes,,12
Plum sorbet,"A super-refreshing, fruity pud","Make yourself a refreshing summer treat or a grown-up fruity pud with this plum sorbet recipe. Dairy-free, gluten-free and so delicious, this sorbet's got it all!",,750g,1 hour plus freezing,Not too tricky,fruit-recipes,,13
Strawberry ice lollies,,Strawberry ice lollies are quick and easy to make and the children will love them on a hot summer's day!,,4,5 minutes plus freezing time,Super easy,fruit-recipes,,14
Pineapple carpaccio,With fresh mint oil,"This quick and easy dessert recipe is packed with fresh fruit. Sweet pineapple, juicy blueberries, coconut yoghurt, zingy lime and mint. From Jamie Oliver’s book 5 Ingredients: Quick & Easy Food.",,4,10 minutes,Not too tricky,fruit-recipes,,15
Passion-berry choux buns,With raspberry curd & passion-fruit glaze,"Looking for a bake to impress? These fruity choux buns might seem fiddly, but they’ll make your party one to remember. The burst of berries balances the rich cream and pastry perfectly. So so good. ","“These might seem fiddly, but they’ll make your party one to remember. The burst of berries balances the richness of the cream and pastry perfectly.  ”",16-20,1 hour 30 minutes,Showing off,fruit-recipes,,16
Chocolate whoopie pies,,"Chocolate whoopie pies are an American favourite that you can now create at home with this easy to follow, delicious and simple recipe from Jamie Oliver.",,14,35 minutes plus chilling,Not too tricky,chocolate-recipes,,17
Bolognese polenta and apple cake (Bustrengo),An after-dinner hit,Jamie's Bolognese Polenta and Apple Cake Recipe is the Italian answer to a bread and butter pudding; lovely served warm with a dollop of crème fraîche!,"“Think of this as a dense, delicious bread and butter pudding cake and you'll see just why I love it  ”",10,1 hour 5 minutes,Super easy,fruit-recipes,,18
Souffle omelette with vanilla apricots,,"Try our easy souffle omelette – this delicious pud has all the wow factor of a soufflé, without the faff or fear of failure! And the honey-poached apricots are a complete joy – enjoy!","“This classic dessert has the wow factor of a soufflé, without the faff. Best made individually. ”",1,30 minutes,Not too tricky,fruit-recipes,,19
Epic vegan chocolate cake,"Vegan, gluten-free & dairy-free, too!","A dairy-free, gluten-free, vegan chocolate cake recipe from Jamie Oliver. This makes a brilliant birthday cake to anybody with dietary needs – a great free-from cake.","“Chocolate cake is a hit with everyone, so whether you’re vegan, or gluten or dairy intolerant – or you just love a good cake – this one’s for you ”",12,50 minutes,Not too tricky,chocolate-recipes,,20
Dairy-free chocolate mousse,"And it's vegan, too!","Find a delicious dairy-free dessert recipe from Jamie Oliver. This vegan chocolate mousse is super-simple to make, and vegan-friendly, too!","“Rustle up this smooth, creamy and super-chocolaty mousse in minutes, then whack it in the fridge ready to serve as a dinner-party dessert. ”",6,15 minutes plus chilling,Super easy,chocolate-recipes,,21
Sweet vanilla risotto with poached peaches and chocolate,A twist on good-old rice pudding,"Jamie's sweet risotto recipe is an Italian inspired take on the classic rice pudding; Flavoured with vanilla, chocolate and peach it's a wining combination.",“This sweet risotto is a brilliant Italian twist on the oozy rice pudding we all know and love  ”,8,50 minutes,Not too tricky,rice-recipes,,22
Piña colada fro-yo,Coconut yoghurt & tropical fruit,"This exotic fro-yo recipe is super-easy to make, plus it doesn't use any added sugar so it's healthy, too!","“Super-quick to prepare, this tropical fro-yo recipe makes a fantastic summer treat, plus it's healthy, too! ”",4  to 6,5 minutes plus freezing,Super easy,fruit-recipes,,23
Peach & almond Alaska,With toasted meringue,"A weeknight hack for delicious baked Alaska – meringue, toasted hazelnut, peaches & gorgeous vanilla ice cream.",,4,26 minutes,Not too tricky,egg-recipes,,24
Chocolate calzone,Party-perfect pud,"Try this chocolate calzone recipe from Jamie Oliver, a delicious sweet version of the Italian classic, perfect for the dessert lovers. ","“Oozing with homemade nutella, this sweet take on the Italian calzone is totally filthy – carve them up on a big board and let everyone help themselves. ”",14,1 hour plus proving,Not too tricky,chocolate-recipes,,25
