recipe,seq,step
0,0,"Even though it has a strong British heritage, America has embraced the apple pie to the point that it’s now considered a quintessentially American dessert. American pies often look like the ones from those Desperate Dan comics – big, robust and full of attitude. The crumble-like topping sprinkled over my pie is an idea I’ve been playing about with, and I think it helps make it unique. Because huckleberries grow wild in Wyoming, I felt it was only right to use them, but feel free to use fresh or frozen blueberries in their place for equally delicious results. Assembling your pie is dead easy, and I’ll talk you through it step by step, but if you’d like to see how it’s done before you start, check out the How to video for a demonstration."
0,1,"You can make your pastry by hand, or simply pulse all the ingredients in a food processor. If making by hand, sieve the flour, icing sugar and a pinch of sea salt from a height into a large mixing bowl. Use your fingertips to gently work the cubes of butter into the flour and sugar until the mixture resembles breadcrumbs. Transfer a handful of this mixture to a separate bowl, rub it between your fingers to get larger crumbs, then put aside. Add the eggs and milk to the main mixture and gently work it together until you have a ball of pastry dough. Don’t work it too much at this stage – you want to keep it crumbly and short. Sprinkle a little flour over the pastry, then wrap it in cling film and pop it into the fridge to rest for 1 hour."
0,2,"Meanwhile, put the apples into a large pan with the zest and juice of 1 orange, a splash of water and 5 tablespoons of caster sugar. Cover the pan and simmer on a medium heat for 10 minutes, until the apples have softened but still hold their shape. Remove from the heat and leave to cool. Scrunch a handful of berries in a bowl with the remaining caster sugar and the zest and juice of your remaining orange. Add the rest of the berries. Toss the cooled apples and their juices in a large bowl with the berries and the flour, then put aside."
0,3,"Preheat your oven to 180ºC/350ºF/gas 4. Take your ball of pastry out of the fridge and let it come up to room temperature. Get yourself a pie dish around 28cm in diameter. Flour a clean surface and a rolling pin. Cut off a third of your pastry and put that piece to one side. Roll the rest into a circle just over 0.5cm thick, dusting with flour as you go. Roll the circle of pastry up over your rolling pin, then gently unroll it over the pie dish. Push it into the sides, letting any excess pastry hang over the edge. Tip in the fruit filling and brush all around the edge of the pastry with some of the beaten egg. Roll out the smaller ball of pastry about 0.5cm thick and use your rolling pin to lay it over the top of the pie. Brush it all over with more beaten egg, reserving a little. Sprinkle over the reserved crumble mixture and the demerara sugar."
0,4,"Fold the scruffy edges of pastry hanging over the sides back over the pie, sealing the edge by twisting or crimping it as you like. Brush these folded edges with your remaining beaten egg. Using a small, sharp knife, cut a cross into the middle of the pie. Place on the bottom of the oven and bake for 45 to 55 minutes, until golden and beautiful. Serve with ice cream, cream or custard."
1,0,"Smush-ins are one of the coolest sweet treats to make. I remember when I was a kid, me and my sister would always try to defrost our hard ice-cream in our dessert bowls into almost a thick milkshakey consistency before scoffing the lot. Then as we matured we realised that many flavours could be mushed in to improve the flavour of the rubbishy ice-cream that our parents always used to give us."
1,1,"So, from the word ‘mush’ and the phrase ‘mushing it in’ they became ‘smush-ins’. It was great going round the supermarkets as a kid secretly slipping possible smush-ins into the trolley. Anything could be a contender – from maple syrup to bashed up chocolate bits, meringue, fruit – you name it, we would smush it! Winegums aren't so good though. But melted chocolate caramel bars are choooooooice."
1,2,"All you need to do is get a big pot of vanilla ice-cream and a selection of possible smush-ins. Take 2 large scoops of ice-cream per person, blob these on to a clean chopping board, sprinkle or dribble over your flavours and then, with a spatula or fork, mush and smush them together. Scoop up and lob into a bowl or cornet."
1,3,Give these a bash and make an event of them when you've got all the kids round. They're really good fun and great to use as bribes to get the kids helping you with the proper cooking! Smush away.
2,0,"Line a 1-litre loaf tin with clingfilm, leaving the clingfilm edges hanging over the sides of the tin."
2,1,"Break up the amaretti in a bowl and add the cherries, pistachios and coconut. "
2,2,"In a separate heatproof bowl, break the chocolate into small pieces and cut the butter into chunks. Add the golden syrup and melt in the microwave for 3 minutes, or until molten, giving the mixture a stir halfway through. "
2,3,"Stir into the bowl of dry ingredients. Mix well and spoon into the lined tin, pushing the mixture down as much as you can.Fold the hanging clingfilm over the cake to cover, then refrigerate for 2 ½ to 3 hours, or until firm. "
2,4,"When ready to serve, turn onto a board and dust with cocoa. Slice and serve."
3,0,"Crush the cardamom pods, pull out the seeds and finely grind in a pestle and mortar. "
3,1,"Mix the flour in a bowl with the cornflour, baking powder, 1 tablespoon of caster sugar, 1 big pinch of sea salt, half the cardamom and half the ground cinnamon. "
3,2,"Add the egg yolks and whisk, pouring in the lager as you go, until you have a smooth, thick batter; cover and set aside to rest."
3,3,"Peel and core the apples, before cutting them into ½-centimetre thick slices, then set aside in a bowl of water until needed. "
3,4,"Mix the remaining 5 tablespoons of caster sugar with the rest of the cardamom and cinnamon, and 1 pinch of salt."
3,5,"Heat the oil in a wide, deep, heavy-based pan (no more than half full),  to 190ºC/375ºF (use a thermometer, or drop in a piece of bread: it should turn golden in about 35 seconds), or use a deep-fat fryer."
3,6,"Dunk the apple slices in the batter and fry, in batches, for 6 to 8 minutes, or until crisp and a rich brown colour, turning regularly. Drain on a rack with kitchen paper underneath to catch the drips. Cool briefly, then toss in the spiced sugar."
3,7,"Snap the chocolate into a saucepan with all the other sauce ingredients and 1 pinch of salt. Melt over a medium-low heat for 2 to 3 minutes, or until smooth and pourable. "
3,8,"Serve the sauce immediately, alongside the warm fritters for dipping."
4,0,Preheat the oven to 180°C/350°F/gas 4. 
4,1,"Hull and halve the strawberries and put into a large bowl. Add the raspberries, sugar and cornflour. Grate in the zest of the orange and add a squeeze of juice, then scrape in the vanilla seeds. Toss together and spoon into 4 small, ovenproof dishes. "
4,2,"For the crumble, mix the sugar, buckwheat flour and ground almonds in a bowl. Dice the butter then use your fingers to rub it in, until large crumbs form. "
4,3,"Sprinkle the crumble over the fruit and bake for 30 minutes, or until the topping is golden and the fruit is bubbling. "
4,4,Delicious served with ice cream.
